KC_State,State ,KC_Municipality,Municipality, TP_2000,TP_2005,TP_2010,TP_2015,TP_2015_C ,I_15oP_2000,I_15oP_2005,I_15oP_2010,I_15oP_2015,PNAS_2000,PNAS_2005,PNAS_2010,PNAS_2015,EI_15oP_2000,EI_15oP_2005,EI_15oP_2010,EI_15oP_2015,PNHS_2000,PNHS_2005,PNHS_2010,PNHS_2015,HDF_2000,HDF_2005,HDF_2010,HDF_2015,HNT_2000,HNT_2005,HNT_2010,HNT_2015,HPWPN_2000,HPWPN_2005,HPWPN_2010,HPWPN_2015,HND_2000,HND_2005,HND_2010,HND_2015,HNE_2000,HNE_2005,HNE_2010,HNE_2015,HNWM_2000,HNWM_2005,HNWM_2010,HNWM_2015,HNR_2000,HNR_2005,HNR_2010,HNR_2015,SLI_2000,SLI_2005,SLI_2010,SLI_2015_SC ,SLI_2015 ,,DSL_2000,DSL_2005,DSL_2010,DSL_2015,PONC_2000,PONC_2005,PONC_2010,PONC_2015,,ln(TP_2015) ,,,,I_15oP_2000_2 ,I_15oP_2005_2 ,I_15oP_2010_2,I_15oP_2015_2,PNAS_2000_2,PNAS_2005_2,PNAS_2010_2,PNAS_2015_2,EI_15oP_2000_2,EI_15oP_2005_2,EI_15oP_2010_2,EI_15oP_2015_2,PNHS_2000_2,PNHS_2005_2,PNHS_2010_2,PNHS_2015_2,HDF_2000_2,HDF_2005_2,HDF_2010_2,HDF_2015_2,HNT_2000_2,HNT_2005_2,HNT_2010_2,HNT_2015_2,HPWPN_2000_2,HPWPN_2005_2,HPWPN_2010_2,HPWPN_2015_2,HND_2000_2,HND_2005_2,HND_2010_2,HND_2015_2,HND_2015_C ,HNE_2000_2,HNE_2005_2,HNE_2010_2,HNE_2015_2,HNWM_2000_2,HNWM_2005_2,HNWM_2010_2,HNWM_2015_2,HNR_2000_2,HNR_2005_2,HNR_2010_2,HNR_2015_2
1,Aguascalientes,1002,Asientos,37763,40547,45492,46464,1,0.0743,0.0675,0.055,0.0442,0.0921,0.0549,0.0363,0.026,0.673,0.583,0.4976,0.4189,0.6721,0.2324,0.1377,0.0554,0.1023,0.0712,0.028,0.0168,0.2272,0.1345,0.087,0.0565,0.0992,0.0432,0.0338,0.013,0.2096,0.1183,0.0846,0.0599,0.0627,0.04,0.0253,0.0117,0.384,0.293,0.2699,0.2344,0.4246,0.2613,0.2083,0.1522,-0.86559,-0.95642,-1.01448,-0.88392,1.11608,,Muy bajo,Muy bajo,Muy bajo,Bajo,1898,2000,2074,1950,,10.746433,,,,7.43,6.75,5.5,4.42,9.21,5.49,3.63,2.6,67.3,58.3,49.76,41.89,67.21,23.24,13.77,5.54,10.23,7.12,2.8,1.68,22.72,13.45,8.7,5.65,9.92,4.32,3.38,1.3,20.96,11.83,8.46,5.99,0,6.27,4,2.53,1.17,38.4,29.3,26.99,23.44,42.46,26.13,20.83,15.22
1,Aguascalientes,1003,Calvillo,51291,50183,54136,56048,0,0.082,0.0815,0.0617,0.0478,0.1216,0.0893,0.0615,0.0439,0.7229,0.64,0.5701,0.4919,0.8247,0.2686,0.1711,0.0975,0.0488,0.0293,0.0255,0.0106,0.0673,0.0343,0.0151,0.0078,0.0601,0.0268,0.027,0.0095,0.0625,0.0167,0.0143,0.0087,0.0284,0.0186,0.0108,0.0054,0.3563,0.2303,0.1999,0.1556,0.2614,0.1188,0.0905,0.0738,-1.00075,-1.12218,-1.10194,-0.97946,1.02054,,Muy bajo,Muy bajo,Muy bajo,Bajo,2008,2143,2145,2077,,10.933964,,,,8.2,8.15,6.17,4.78,12.16,8.93,6.15,4.39,72.29,64,57.01,49.19,82.47,26.86,17.11,9.75,4.88,2.93,2.55,1.06,6.73,3.43,1.51,0.78,6.01,2.68,2.7,0.95,6.25,1.67,1.43,0.87,0,2.84,1.86,1.08,0.54,35.63,23.03,19.99,15.56,26.14,11.88,9.05,7.38
1,Aguascalientes,1004,Cosío,12619,13687,15042,15577,1,0.0621,0.0671,0.0432,0.0432,0.0748,0.0418,0.0316,0.0263,0.6201,0.5342,0.4333,0.3306,0.6046,0.2682,0.1391,0.0512,0.0602,0.0482,0.0346,0.0156,0.136,0.092,0.0595,0.029,0.0852,0.0114,0.0202,0.006,0.0831,0.0558,0.0329,0.0193,0.0291,0.0207,0.0211,0.0074,0.4242,0.3263,0.3281,0.2307,0.4029,0.2578,0.2087,0.1245,-1.14253,-1.07846,-1.13314,-1.06269,0.93731,,Muy bajo,Muy bajo,Muy bajo,Muy bajo,2087,2103,2172,2164,,9.653551,,,,6.21,6.71,4.32,4.32,7.48,4.18,3.16,2.63,62.01,53.42,43.33,33.06,60.46,26.82,13.91,5.12,6.02,4.82,3.46,1.56,13.6,9.2,5.95,2.9,8.52,1.14,2.02,0.6,8.31,5.58,3.29,1.93,0,2.91,2.07,2.11,0.74,42.42,32.63,32.81,23.07,40.29,25.78,20.87,12.45
1,Aguascalientes,1005,Jesús María,64097,82623,99590,120405,0,0.0662,0.0533,0.0374,0.0324,0.096,0.0569,0.0491,0.0413,0.6395,0.5194,0.4304,0.3373,0.4697,0.3062,0.2233,0.1383,0.0692,0.0272,0.0248,0.0092,0.086,0.0435,0.02,0.0103,0.0523,0.034,0.0264,0.0094,0.0696,0.024,0.0168,0.0073,0.0328,0.0342,0.0119,0.0042,0.2835,0.1997,0.1891,0.1551,0.2365,0.1148,0.0961,0.082,-1.37606,-1.21094,-1.2965,-1.18862,0.81138,,Muy bajo,Muy bajo,Muy bajo,Muy bajo,2225,2209,2288,2286,,11.698616,,,,6.62,5.33,3.74,3.24,9.6,5.69,4.91,4.13,63.95,51.94,43.04,33.73,46.97,30.62,22.33,13.83,6.92,2.72,2.48,0.92,8.6,4.35,2,1.03,5.23,3.4,2.64,0.94,6.96,2.4,1.68,0.73,0,3.28,3.42,1.19,0.42,28.35,19.97,18.91,15.51,23.65,11.48,9.61,8.2
1,Aguascalientes,1006,Pabellón de Arteaga,34296,38912,41862,46473,1,0.0625,0.0558,0.0407,0.0339,0.0758,0.0535,0.0439,0.0262,0.5288,0.4498,0.3884,0.3095,0.4761,0.297,0.189,0.1007,0.0371,0.0191,0.0154,0.0071,0.0855,0.0377,0.0196,0.0182,0.0355,0.0274,0.0455,0.0115,0.0605,0.0268,0.0202,0.0135,0.0263,0.021,0.0104,0.0072,0.2794,0.2038,0.1895,0.1696,0.2871,0.1402,0.1252,0.1034,-1.51693,-1.32136,-1.34386,-1.19741,0.80259,,Muy bajo,Muy bajo,Muy bajo,Muy bajo,2284,2274,2315,2293,,10.746627,,,,6.25,5.58,4.07,3.39,7.58,5.35,4.39,2.62,52.88,44.98,38.84,30.95,47.61,29.7,18.9,10.07,3.71,1.91,1.54,0.71,8.55,3.77,1.96,1.82,3.55,2.74,4.55,1.15,6.05,2.68,2.02,1.35,0,2.63,2.1,1.04,0.72,27.94,20.38,18.95,16.96,28.71,14.02,12.52,10.34
1,Aguascalientes,1007,Rincón de Romos,41655,45471,49156,53866,0,0.0704,0.0649,0.0464,0.0351,0.071,0.043,0.0336,0.0227,0.5381,0.4657,0.3901,0.3208,0.5656,0.3058,0.195,0.104,0.0627,0.0398,0.0362,0.0092,0.1104,0.0694,0.04,0.0277,0.0753,0.0379,0.038,0.0158,0.0952,0.0469,0.0303,0.026,0.037,0.0285,0.0098,0.0068,0.3644,0.2678,0.256,0.218,0.3259,0.1753,0.1533,0.1149,-1.31572,-1.19719,-1.25519,-1.13234,0.86766,,Muy bajo,Muy bajo,Muy bajo,Muy bajo,2183,2201,2260,2241,,10.894255,,,,7.04,6.49,4.64,3.51,7.1,4.3,3.36,2.27,53.81,46.57,39.01,32.08,56.56,30.58,19.5,10.4,6.27,3.98,3.62,0.92,11.04,6.94,4,2.77,7.53,3.79,3.8,1.58,9.52,4.69,3.03,2.6,0,3.7,2.85,0.98,0.68,36.44,26.78,25.6,21.8,32.59,17.53,15.33,11.49
1,Aguascalientes,1008,San José de Gracia,7244,7631,8443,8896,1,0.0496,0.0515,0.0342,0.0318,0.0968,0.0478,0.0371,0.0197,0.6168,0.5365,0.4399,0.3651,0.6926,0.1818,0.0953,0.0564,0.0421,0.036,0.0149,0.0057,0.3251,0.1989,0.1072,0.0599,0.0525,0.0543,0.0504,0.0162,0.2864,0.1653,0.0934,0.049,0.0607,0.0439,0.0202,0.0152,0.5252,0.3716,0.3137,0.2429,0.4417,0.2337,0.1969,0.1426,-0.80403,-1.00502,-1.09728,-0.99088,1.00912,,Muy bajo,Muy bajo,Muy bajo,Bajo,1854,2032,2142,2093,,9.093357,,,,4.96,5.15,3.42,3.18,9.68,4.78,3.71,1.97,61.68,53.65,43.99,36.51,69.26,18.18,9.53,5.64,4.21,3.6,1.49,0.57,32.51,19.89,10.72,5.99,5.25,5.43,5.04,1.62,28.64,16.53,9.34,4.9,0,6.07,4.39,2.02,1.52,52.52,37.16,31.37,24.29,44.17,23.37,19.69,14.26
1,Aguascalientes,1009,Tepezalá,16508,17372,19668,20926,1,0.071,0.0631,0.0585,0.0419,0.0825,0.0522,0.0407,0.0253,0.6729,0.5924,0.5222,0.4203,0.6733,0.239,0.1545,0.0817,0.0654,0.0393,0.0243,0.0125,0.1875,0.1004,0.058,0.0424,0.0574,0.0332,0.0245,0.0133,0.1666,0.0675,0.0466,0.0287,0.0419,0.0299,0.0166,0.0101,0.3782,0.2829,0.2827,0.2201,0.4201,0.2315,0.1923,0.1411,-0.9848,-1.04535,-1.03717,-0.95746,1.04254,,Muy bajo,Muy bajo,Muy bajo,Bajo,1993,2067,2091,2050,,9.948748,,,,7.1,6.31,5.85,4.19,8.25,5.22,4.07,2.53,67.29,59.24,52.22,42.03,67.33,23.9,15.45,8.17,6.54,3.93,2.43,1.25,18.75,10.04,5.8,4.24,5.74,3.32,2.45,1.33,16.66,6.75,4.66,2.87,0,4.19,2.99,1.66,1.01,37.82,28.29,28.27,22.01,42.01,23.15,19.23,14.11
1,Aguascalientes,1010,El Llano,15327,17115,18828,20245,1,0.0857,0.0738,0.0574,0.0489,0.0965,0.055,0.0483,0.0231,0.6902,0.6004,0.5025,0.4225,0.6079,0.2852,0.1744,0.0859,0.1123,0.0448,0.0262,0.0172,0.268,0.154,0.0968,0.0709,0.0572,0.0397,0.0462,0.0262,0.247,0.1377,0.0864,0.0631,0.0829,0.0501,0.0356,0.0217,0.4743,0.3333,0.3178,0.2784,0.4672,0.2475,0.22,0.1807,-0.75501,-0.88684,-0.88536,-0.77657,1.22343,,Muy bajo,Muy bajo,Muy bajo,Bajo,1815,1933,1943,1835,,9.915663,,,,8.57,7.38,5.74,4.89,9.65,5.5,4.83,2.31,69.02,60.04,50.25,42.25,60.79,28.52,17.44,8.59,11.23,4.48,2.62,1.72,26.8,15.4,9.68,7.09,5.72,3.97,4.62,2.62,24.7,13.77,8.64,6.31,0,8.29,5.01,3.56,2.17,47.43,33.33,31.78,27.84,46.72,24.75,22,18.07
1,Aguascalientes,1011,San Francisco de los Romo,20066,28832,35769,46454,1,0.0802,0.0609,0.0472,0.0293,0.083,0.0535,0.0477,0.0387,0.6585,0.5134,0.447,0.3322,0.5093,0.2678,0.1856,0.1174,0.0383,0.0191,0.0145,0.0046,0.0839,0.0375,0.0137,0.0048,0.0211,0.0245,0.0167,0.0082,0.0571,0.0185,0.0092,0.006,0.0208,0.021,0.0062,0.0046,0.2567,0.1973,0.2022,0.1953,0.2635,0.1147,0.1091,0.09,-1.38775,-1.31559,-1.3023,-1.17799,0.82201,,Muy bajo,Muy bajo,Muy bajo,Muy bajo,2232,2269,2293,2277,,10.746218,,,,8.02,6.09,4.72,2.93,8.3,5.35,4.77,3.87,65.85,51.34,44.7,33.22,50.93,26.78,18.56,11.74,3.83,1.91,1.45,0.46,8.39,3.75,1.37,0.48,2.11,2.45,1.67,0.82,5.71,1.85,0.92,0.6,0,2.08,2.1,0.62,0.46,25.67,19.73,20.22,19.53,26.35,11.47,10.91,9
